category,doc_class,filename,is_attack,sig_accept,sig_reason,hash_accept,hash_reason,dpm_accept,dpm_reason
baseline,admin_record,admin_record_001.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,admin_record,admin_record_002.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,admin_record,admin_record_003.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,admin_record,admin_record_004.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,admin_record,admin_record_005.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,admin_record,admin_record_006.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,certificate,certificate_001.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,certificate,certificate_002.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,certificate,certificate_003.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,certificate,certificate_004.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,certificate,certificate_005.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,certificate,certificate_006.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,invoice,invoice_001.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,invoice,invoice_002.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,invoice,invoice_003.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,invoice,invoice_004.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,invoice,invoice_005.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
baseline,invoice,invoice_006.pdf,False,True,sig_valid,True,hash_ok,True,accept_identical
benign_moddate,admin_record,admin_record_001.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,admin_record,admin_record_002.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,admin_record,admin_record_003.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,admin_record,admin_record_004.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,admin_record,admin_record_005.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,admin_record,admin_record_006.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,certificate,certificate_001.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,certificate,certificate_002.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,certificate,certificate_003.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,certificate,certificate_004.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,certificate,certificate_005.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,certificate,certificate_006.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,invoice,invoice_001.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,invoice,invoice_002.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,invoice,invoice_003.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,invoice,invoice_004.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,invoice,invoice_005.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
benign_moddate,invoice,invoice_006.pdf,False,True,sig_valid,False,hash_mismatch,True,accept_moddate
attack_A1_replacement,admin_record,admin_record_001.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,admin_record,admin_record_002.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,admin_record,admin_record_003.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,admin_record,admin_record_004.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,admin_record,admin_record_005.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,admin_record,admin_record_006.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,certificate,certificate_001.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_catalog
attack_A1_replacement,certificate,certificate_002.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_catalog
